"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year.1","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year.2","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","Longlines"
"11",50000,"Y3","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,4958,6720,600,23838,10,160582.25,2053138.2,33496,100.62,3.96,23.23,0.05,19.53,4.79,7.66,93.62,149.62,10,6000,1200,60000,45000,24016.89875,136744.247897348,37,349909.035833333,2
"111",60000,"Y3","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,5360,7200,600,25680,10,163128.86,2078031.87,40195,100.62,3.96,23.23,0.05,19.53,4.06,6.46,79.25,126.2,10,6000,1200,60000,45000,24721.5118333333,137448.860980681,40,352948.789666667,2
"112",70000,"Y3","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,6298,8320,600,30458,10,168605.24,2130922.82,46895,100.62,3.96,23.23,0.05,19.53,3.6,5.68,70.21,110.92,10,6000,1200,60000,45000,25419.8915833333,138147.240730681,47,355939.810166667,2
"113",80000,"Y3","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,6700,8800,600,32940,10,172519.4,2176551.44,53594,100.62,3.96,23.23,0.05,19.53,3.22,5.08,62.86,99.13,10,6000,1200,60000,45000,26588.3713333333,139579.395054355,50,365951.564,3
"114",90000,"Y3","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,7102,9280,600,35262,10,175546.01,2204991.11,60293,100.62,3.96,23.23,0.05,19.53,2.91,4.57,56.86,89.27,10,6000,1200,60000,45000,27292.9844166667,140284.008137689,53,368991.317833333,3
"115",100000,"Y3","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,8710,11200,600,41830,10,182812.39,2275756.06,66992,100.62,3.96,23.23,0.05,19.53,2.73,4.25,53.29,82.92,10,6000,1200,60000,45000,27991.3641666667,140982.387887689,65,371982.338333333,3
"116",110000,"Y3","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,9380,12000,600,45060,10,186747,2314049.73,73691,100.62,3.96,23.23,0.05,19.53,2.53,3.93,49.49,76.65,10,6000,1200,60000,45000,28695.97725,141687.000971022,70,375022.092166667,3
"117",120000,"Y3","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,10184,12960,600,48904,10,192023.16,2373618.35,80391,100.62,3.96,23.23,0.05,19.53,2.39,3.69,46.64,72.07,10,6000,1200,60000,45000,29864.457,143119.155294696,76,385033.846,4
"118",130000,"Y3","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,10720,13600,600,52160,10,195980.34,2410414.1,87090,100.62,3.96,23.23,0.05,19.53,2.25,3.46,43.94,67.56,10,6000,1200,60000,45000,30565.63675,143820.335044696,80,388052.8665,4
"119",140000,"Y3","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,11524,14560,600,56004,10,200526.15,2454948.97,93789,100.62,3.96,23.23,0.05,19.53,2.14,3.27,41.75,63.89,10,6000,1200,60000,45000,31267.4498333333,144522.148128029,86,391064.620333333,4
"1110",150000,"Y3","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,12194,15360,600,59074,10,205031.1,2507104.39,100488,100.62,3.96,23.23,0.05,19.53,2.04,3.12,39.84,60.9,10,6000,1200,60000,45000,32438.7295833333,145957.102451703,91,401104.374166667,5
"1111",160000,"Y3","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,12730,16000,600,61850,10,208505.48,2540295.34,107188,100.62,3.96,23.23,0.05,19.53,1.95,2.96,37.99,57.85,10,6000,1200,60000,45000,33137.1093333333,146655.482201703,95,404095.394666667,5
"1112",170000,"Y3","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,13534,16960,600,65694,10,213054.1,2584889.01,113887,100.62,3.96,23.23,0.05,19.53,1.87,2.84,36.53,55.4,10,6000,1200,60000,45000,33841.7224166667,147360.095285037,101,407135.1485,5
"1113",180000,"Y3","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,14070,17600,600,68950,10,217011.91,2621675.88,120586,100.62,3.96,23.23,0.05,19.53,1.8,2.72,35.14,53.07,10,6000,1200,60000,45000,34543.5355,148061.90836837,105,410146.902333333,5
"1114",190000,"Y3","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,15008,18720,600,73728,10,223224.86,2689709.3,127285,100.62,3.96,23.23,0.05,19.53,1.75,2.64,34.25,51.58,10,6000,1200,60000,45000,35714.81525,149496.862692044,112,420186.656166667,6
"1115",200000,"Y3","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,15946,19840,600,77066,10,227261.24,2729722.25,133984,100.62,3.96,23.23,0.05,19.53,1.7,2.55,33.12,49.73,10,6000,1200,60000,45000,36413.195,150195.242442044,119,423177.676666667,6
"1116",210000,"Y3","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,17152,21280,600,82592,10,233491.86,2790361.92,140684,100.62,3.96,23.23,0.05,19.53,1.66,2.48,32.41,48.42,10,6000,1200,60000,45000,37117.8080833333,150899.855525377,128,426217.4305,6
"1117",220000,"Y3","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,17688,21920,600,85848,10,237449.67,2827148.79,147383,100.62,3.96,23.23,0.05,19.53,1.61,2.4,31.46,46.82,10,6000,1200,60000,45000,37819.6211666667,151601.668608711,132,429229.184333333,6
"1118",230000,"Y3","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,18492,22880,600,89692,10,242725.19,2886726.29,154082,100.62,3.96,23.23,0.05,19.53,1.58,2.34,30.76,45.73,10,6000,1200,60000,45000,38987.4675833333,153033.189599051,138,439248.204833333,7
"1119",240000,"Y3","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,18894,23360,600,92174,10,245909,2917321.16,160781,100.62,3.96,23.23,0.05,19.53,1.53,2.27,29.87,44.29,10,6000,1200,60000,45000,39689.2806666667,153735.002682385,141,442259.958666667,7
"1120",250000,"Y3","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,19430,24000,600,94310,10,248749.62,2946036.83,167480,100.62,3.96,23.23,0.05,19.53,1.49,2.2,29,42.94,10,6000,1200,60000,45000,40393.89375,154439.615765718,145,445299.7125,7
"1121",260000,"Y3","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,20636,25440,600,100156,10,256024.34,3022799.53,174180,100.62,3.96,23.23,0.05,19.53,1.47,2.17,28.7,42.36,10,6000,1200,60000,45000,41558.9401666667,155868.336756059,154,455290.733,8
"1122",270000,"Y3","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,21038,25920,600,102638,10,259210.95,3053453.2,180879,100.62,3.96,23.23,0.05,19.53,1.43,2.11,27.98,41.21,10,6000,1200,60000,45000,42263.55325,156572.949839392,157,458330.486833333,8
"1123",280000,"Y3","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,21842,26880,600,106482,10,263756.76,3097988.07,187578,100.62,3.96,23.23,0.05,19.53,1.41,2.06,27.46,40.31,10,6000,1200,60000,45000,42965.3663333333,157274.762922725,163,461342.240666667,8
"1124",290000,"Y3","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,22914,28160,600,110754,10,268729.94,3146465.82,194277,100.62,3.96,23.23,0.05,19.53,1.38,2.02,27.01,39.53,10,6000,1200,60000,45000,43666.5460833333,157975.942672725,171,464361.261166667,8
"1125",300000,"Y3","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,23852,29280,600,115532,10,274940.1,3214440.44,200977,100.62,3.96,23.23,0.05,19.53,1.37,2,26.71,39.04,10,6000,1200,60000,45000,44835.0258333333,159408.096996399,178,474373.015,9
"1126",310000,"Y3","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,24522,30080,600,118602,10,278714.71,3250520.11,207676,100.62,3.96,23.23,0.05,19.53,1.34,1.96,26.21,38.21,10,6000,1200,60000,45000,45539.6389166667,160112.710079733,183,477412.768833333,9
"1127",320000,"Y3","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,24924,30560,600,121084,10,281895.09,3281065.06,214375,100.62,3.96,23.23,0.05,19.53,1.31,1.91,25.68,37.36,10,6000,1200,60000,45000,46238.0186666667,160811.089829733,186,480403.789333333,9
"1128",330000,"Y3","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,25862,31680,600,125862,10,287377.7,3334064.73,221074,100.62,3.96,23.23,0.05,19.53,1.3,1.89,25.38,36.81,10,6000,1200,60000,45000,46942.63175,161515.702913066,193,483443.543166667,9
"1129",340000,"Y3","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,26398,32320,600,127998,10,290945.86,3377755.35,227773,100.62,3.96,23.23,0.05,19.53,1.28,1.85,24.94,36.2,10,6000,1200,60000,45000,48111.1115,162947.85723674,197,493455.297,10
"1130",350000,"Y3","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,27470,33600,600,133550,10,297202.47,3436947.02,234473,100.62,3.96,23.23,0.05,19.53,1.27,1.83,24.75,35.78,10,6000,1200,60000,45000,48815.7245833333,163652.470320073,205,496495.050833333,10
"1131",360000,"Y3","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,27872,34080,600,135392,10,299742.85,3461731.97,241172,100.62,3.96,23.23,0.05,19.53,1.24,1.79,24.27,35.04,10,6000,1200,60000,45000,49514.1043333333,164350.850070073,208,499486.071333333,10
"1132",370000,"Y3","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,28810,35200,600,140170,10,305955.8,3529765.4,247871,100.62,3.96,23.23,0.05,19.53,1.23,1.78,24.1,34.76,10,6000,1200,60000,45000,50685.3840833333,165785.804393747,215,509525.825166667,11
"1133",380000,"Y3","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,29212,35680,600,142652,10,309139.62,3560360.26,254570,100.62,3.96,23.23,0.05,19.53,1.21,1.75,23.71,34.14,10,6000,1200,60000,45000,51387.1971666667,166487.617477081,218,512537.579,11
"1134",390000,"Y3","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,30820,37600,600,149060,10,316248.8,3628970.02,261270,100.62,3.96,23.23,0.05,19.53,1.21,1.74,23.64,33.9,10,6000,1200,60000,45000,52088.3769166667,167188.797227081,230,515556.5995,11
"1135",400000,"Y3","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,31222,38080,600,151542,10,319432.61,3659564.88,267969,100.62,3.96,23.23,0.05,19.53,1.19,1.71,23.28,33.34,10,6000,1200,60000,45000,52790.19,167890.610310414,233,518568.353333333,11
