"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Labor","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year","Date","Cost of Goods Sold","Fixed Overhead Costs","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year","Date","Lease","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","Longlines","Spec.equip","Ownership"
"11",50000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,10880,6030,8000,600,24910,10,2035,24910,135603.91,160513.91,2023259.2,29309,120.32,4.74,42.51,0.09,10.67,5.48,9.86,58.44,105.23,10,Aug 2035,527.349147347986,6000,1200,60000,45000,22876.5654166667,135603.914564015,45,328199.035833333,2,"Drill (Dremel)","Sole Ownership"
"111",60000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,12160,6700,8800,600,27660,10,2035,27660,136308.53,163968.53,2054776.87,35171,120.32,4.74,42.51,0.09,10.67,4.66,8.35,49.75,89.06,10,Aug 2035,527.349147347986,6000,1200,60000,45000,23581.1785,136308.527647348,50,331238.789666667,2,"Drill (Dremel)","Sole Ownership"
"112",70000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,14560,7772,10080,600,32412,10,2035,32412,137006.91,169418.91,2105885.82,41033,120.32,4.74,42.51,0.09,10.67,4.13,7.33,44.06,78.24,10,Aug 2035,527.349147347986,6000,1200,60000,45000,24279.55825,137006.907397348,58,334229.810166667,2,"Drill (Dremel)","Sole Ownership"
"113",80000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,16000,8442,10880,600,35322,10,2035,35322,138439.06,173761.06,2153818.44,46895,120.32,4.74,42.51,0.09,10.67,3.71,6.56,39.54,70.01,10,Aug 2035,791.023721021979,6000,1200,60000,45000,25448.038,138439.061721022,63,344241.564,3,"Drill (Dremel)","Sole Ownership"
"114",90000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,17280,8978,11520,600,37778,10,2035,37778,139143.67,176921.67,2182690.11,52756,120.32,4.74,42.51,0.09,10.67,3.35,5.91,35.79,63.07,10,Aug 2035,791.023721021979,6000,1200,60000,45000,26152.6510833333,139143.674804355,67,347281.317833333,3,"Drill (Dremel)","Sole Ownership"
"115",100000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,20480,11122,14080,600,45682,10,2035,45682,139842.05,185524.05,2262569.06,58618,120.32,4.74,42.51,0.09,10.67,3.16,5.51,33.77,58.84,10,Aug 2035,791.023721021979,6000,1200,60000,45000,26851.0308333333,139842.054554355,83,350272.338333333,3,"Drill (Dremel)","Sole Ownership"
"116",110000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,21920,11926,15040,600,48886,10,2035,48886,140546.67,189432.67,2299080.73,64480,120.32,4.74,42.51,0.09,10.67,2.94,5.09,31.35,54.35,10,Aug 2035,791.023721021979,6000,1200,60000,45000,27555.6439166667,140546.667637689,89,353312.092166667,3,"Drill (Dremel)","Sole Ownership"
"117",120000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,24320,12998,16320,600,53638,10,2035,53638,141978.82,195616.82,2365273.35,70342,120.32,4.74,42.51,0.09,10.67,2.78,4.8,29.68,51.26,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,28724.1236666667,141978.821961363,97,363323.846,4,"Drill (Dremel)","Sole Ownership"
"118",130000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,25600,13534,16960,600,56094,10,2035,56094,142680,198774,2394095.1,76204,120.32,4.74,42.51,0.09,10.67,2.61,4.49,27.83,47.89,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,29425.3034166667,142680.001711363,101,366342.8665,4,"Drill (Dremel)","Sole Ownership"
"119",140000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,28000,14606,18240,600,60846,10,2035,60846,143381.81,204227.81,2445253.97,82065,120.32,4.74,42.51,0.09,10.67,2.49,4.26,26.56,45.42,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,30127.1165,143381.814794696,109,369354.620333333,4,"Drill (Dremel)","Sole Ownership"
"1110",150000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,29280,15410,19200,600,63890,10,2035,63890,144816.77,208706.77,2495627.39,87927,120.32,4.74,42.51,0.09,10.67,2.37,4.05,25.33,43.27,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,31298.39625,144816.76911837,115,379394.374166667,5,"Drill (Dremel)","Sole Ownership"
"1111",160000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,30720,16214,20160,600,67094,10,2035,67094,145515.15,212609.15,2531122.34,93789,120.32,4.74,42.51,0.09,10.67,2.27,3.86,24.19,41.14,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,31996.776,145515.14886837,121,382385.394666667,5,"Drill (Dremel)","Sole Ownership"
"1112",170000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,33120,17286,21440,600,71846,10,2035,71846,146219.76,218065.76,2582340.01,99651,120.32,4.74,42.51,0.09,10.67,2.19,3.7,23.35,39.5,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,32701.3890833333,146219.761951703,129,385425.1485,5,"Drill (Dremel)","Sole Ownership"
"1113",180000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,34400,17822,22080,600,74302,10,2035,74302,146921.58,221223.58,2611152.88,105513,120.32,4.74,42.51,0.09,10.67,2.1,3.54,22.37,37.73,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,33403.2021666667,146921.575035037,133,388436.902333333,5,"Drill (Dremel)","Sole Ownership"
"1114",190000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,36800,18894,23360,600,79054,10,2035,79054,148356.53,227410.53,2677404.3,111375,120.32,4.74,42.51,0.09,10.67,2.04,3.43,21.79,36.65,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,34574.4819166667,148356.529358711,141,398476.656166667,6,"Drill (Dremel)","Sole Ownership"
"1115",200000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,38880,20502,25280,600,84662,10,2035,84662,149054.91,233716.91,2734937.25,117236,120.32,4.74,42.51,0.09,10.67,1.99,3.33,21.27,35.56,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,35272.8616666667,149054.909108711,153,401467.676666667,6,"Drill (Dremel)","Sole Ownership"
"1116",210000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,41440,21842,26880,600,90162,10,2035,90162,149759.52,239921.52,2793794.92,123098,120.32,4.74,42.51,0.09,10.67,1.95,3.24,20.8,34.6,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,35977.47475,149759.522192044,163,404507.4305,6,"Drill (Dremel)","Sole Ownership"
"1117",220000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,42240,22244,27360,600,91844,10,2035,91844,150461.34,242305.34,2817189.79,128960,120.32,4.74,42.51,0.09,10.67,1.88,3.12,20.05,33.3,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,36679.2878333333,150461.335275377,166,407519.184333333,6,"Drill (Dremel)","Sole Ownership"
"1118",230000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,44640,23316,28640,600,96596,10,2035,96596,151892.86,248488.86,2883391.29,134822,120.32,4.74,42.51,0.09,10.67,1.84,3.06,19.67,32.6,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,37847.13425,151892.856265718,174,417538.204833333,7,"Drill (Dremel)","Sole Ownership"
"1119",240000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,46080,23986,29440,600,99506,10,2035,99506,152594.67,252100.67,2916290.16,140684,120.32,4.74,42.51,0.09,10.67,1.79,2.96,19.12,31.6,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,38548.9473333333,152594.669349051,179,420549.958666667,7,"Drill (Dremel)","Sole Ownership"
