"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Price","Product.Type","NPV.Output","IRR.Output"
"1",50000,"Y3","Fall","Ear Hanging",10,"Adductor",-941125.52589077,NA
"2",75000,"Y3","Fall","Ear Hanging",10,"Adductor",-956700.721760995,NA
"3",1e+05,"Y3","Fall","Ear Hanging",10,"Adductor",-972237.791527681,NA
"4",125000,"Y3","Fall","Ear Hanging",10,"Adductor",-992301.897942084,NA
"5",150000,"Y3","Fall","Ear Hanging",10,"Adductor",-1003428.39223143,NA
"6",175000,"Y3","Fall","Ear Hanging",10,"Adductor",-1024553.58230661,NA
"7",2e+05,"Y3","Fall","Ear Hanging",10,"Adductor",-1031277.6460975,NA
"8",225000,"Y3","Fall","Ear Hanging",10,"Adductor",-1060521.28121191,NA
"9",250000,"Y3","Fall","Ear Hanging",10,"Adductor",-1067755.17410883,NA
"10",275000,"Y3","Fall","Ear Hanging",10,"Adductor",-1091631.50889581,NA
"11",3e+05,"Y3","Fall","Ear Hanging",10,"Adductor",-1098865.41179273,NA
"12",50000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-937729.11018332,NA
"13",75000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-951606.098199822,NA
"14",1e+05,"Y3","Fall","Ear Hanging",10.5,"Adductor",-965444.960112782,NA
"15",125000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-983810.858673461,NA
"16",150000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-993239.145109083,NA
"17",175000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-1012666.12733054,NA
"18",2e+05,"Y3","Fall","Ear Hanging",10.5,"Adductor",-1017691.9832677,NA
"19",225000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-1045237.41052839,NA
"20",250000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-1050773.09557159,NA
"21",275000,"Y3","Fall","Ear Hanging",10.5,"Adductor",-1072951.12110719,NA
"22",3e+05,"Y3","Fall","Ear Hanging",10.5,"Adductor",-1078486.81615038,NA
"23",50000,"Y3","Fall","Ear Hanging",11,"Adductor",-934332.694475871,NA
"24",75000,"Y3","Fall","Ear Hanging",11,"Adductor",-946511.474638648,NA
"25",1e+05,"Y3","Fall","Ear Hanging",11,"Adductor",-958652.128697885,NA
"26",125000,"Y3","Fall","Ear Hanging",11,"Adductor",-975319.819404838,NA
"27",150000,"Y3","Fall","Ear Hanging",11,"Adductor",-983049.897986736,NA
"28",175000,"Y3","Fall","Ear Hanging",11,"Adductor",-1000778.67235447,NA
"29",2e+05,"Y3","Fall","Ear Hanging",11,"Adductor",-1004106.3204379,NA
"30",225000,"Y3","Fall","Ear Hanging",11,"Adductor",-1029953.53984487,NA
"31",250000,"Y3","Fall","Ear Hanging",11,"Adductor",-1033791.01703434,NA
"32",275000,"Y3","Fall","Ear Hanging",11,"Adductor",-1054270.73331857,NA
"33",3e+05,"Y3","Fall","Ear Hanging",11,"Adductor",-1058108.22050804,NA
"34",50000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-930936.278768422,NA
"35",75000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-941416.851077474,NA
"36",1e+05,"Y3","Fall","Ear Hanging",11.5,"Adductor",-951859.297282986,NA
"37",125000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-966828.780136216,NA
"38",150000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-972860.650864388,NA
"39",175000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-988891.217378398,NA
"40",2e+05,"Y3","Fall","Ear Hanging",11.5,"Adductor",-990520.657608106,NA
"41",225000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-1014669.66916135,NA
"42",250000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-1016808.93849709,NA
"43",275000,"Y3","Fall","Ear Hanging",11.5,"Adductor",-1035590.34552994,NA
"44",3e+05,"Y3","Fall","Ear Hanging",11.5,"Adductor",-1037729.62486569,NA
"45",50000,"Y3","Fall","Ear Hanging",12,"Adductor",-927539.863060973,NA
"46",75000,"Y3","Fall","Ear Hanging",12,"Adductor",-936322.227516301,NA
"47",1e+05,"Y3","Fall","Ear Hanging",12,"Adductor",-945066.465868088,NA
"48",125000,"Y3","Fall","Ear Hanging",12,"Adductor",-958337.740867593,NA
"49",150000,"Y3","Fall","Ear Hanging",12,"Adductor",-962671.403742041,NA
"50",175000,"Y3","Fall","Ear Hanging",12,"Adductor",-977003.762402326,NA
"51",2e+05,"Y3","Fall","Ear Hanging",12,"Adductor",-976934.994778309,NA
"52",225000,"Y3","Fall","Ear Hanging",12,"Adductor",-999385.798477825,NA
"53",250000,"Y3","Fall","Ear Hanging",12,"Adductor",-999826.859959849,NA
"54",275000,"Y3","Fall","Ear Hanging",12,"Adductor",-1016909.95774132,NA
"55",3e+05,"Y3","Fall","Ear Hanging",12,"Adductor",-1017351.02922335,NA
"56",50000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-924143.447353524,NA
"57",75000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-931227.603955127,NA
"58",1e+05,"Y3","Fall","Ear Hanging",12.5,"Adductor",-938273.63445319,NA
"59",125000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-949846.70159897,NA
"60",150000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-952482.156619694,NA
"61",175000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-965116.307426254,NA
"62",2e+05,"Y3","Fall","Ear Hanging",12.5,"Adductor",-963349.331948513,NA
"63",225000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-984101.927794304,NA
"64",250000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-982844.781422604,NA
"65",275000,"Y3","Fall","Ear Hanging",12.5,"Adductor",-998229.569952703,NA
"66",3e+05,"Y3","Fall","Ear Hanging",12.5,"Adductor",-996972.433581002,NA
"67",50000,"Y3","Fall","Ear Hanging",13,"Adductor",-920747.031646075,NA
"68",75000,"Y3","Fall","Ear Hanging",13,"Adductor",-926132.980393953,NA
"69",1e+05,"Y3","Fall","Ear Hanging",13,"Adductor",-931480.803038291,NA
"70",125000,"Y3","Fall","Ear Hanging",13,"Adductor",-941355.662330347,NA
"71",150000,"Y3","Fall","Ear Hanging",13,"Adductor",-942292.909497346,NA
"72",175000,"Y3","Fall","Ear Hanging",13,"Adductor",-953228.852450182,NA
"73",2e+05,"Y3","Fall","Ear Hanging",13,"Adductor",-949763.669118716,NA
"74",225000,"Y3","Fall","Ear Hanging",13,"Adductor",-968818.057110783,NA
"75",250000,"Y3","Fall","Ear Hanging",13,"Adductor",-965862.702885358,NA
"76",275000,"Y3","Fall","Ear Hanging",13,"Adductor",-979549.182164082,NA
"77",3e+05,"Y3","Fall","Ear Hanging",13,"Adductor",-976593.837938657,NA
"78",50000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-917350.615938626,NA
"79",75000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-921038.356832779,NA
"80",1e+05,"Y3","Fall","Ear Hanging",13.5,"Adductor",-924687.971623393,NA
"81",125000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-932864.623061724,NA
"82",150000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-932103.662374999,NA
"83",175000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-941341.39747411,NA
"84",2e+05,"Y3","Fall","Ear Hanging",13.5,"Adductor",-936178.00628892,NA
"85",225000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-953534.186427262,NA
"86",250000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-948880.624348112,NA
"87",275000,"Y3","Fall","Ear Hanging",13.5,"Adductor",-960868.794375461,NA
"88",3e+05,"Y3","Fall","Ear Hanging",13.5,"Adductor",-956215.242296311,NA
"89",50000,"Y3","Fall","Ear Hanging",14,"Adductor",-913954.200231176,NA
"90",75000,"Y3","Fall","Ear Hanging",14,"Adductor",-915943.733271606,NA
"91",1e+05,"Y3","Fall","Ear Hanging",14,"Adductor",-917895.140208495,NA
"92",125000,"Y3","Fall","Ear Hanging",14,"Adductor",-924373.583793101,NA
"93",150000,"Y3","Fall","Ear Hanging",14,"Adductor",-921914.415252651,NA
"94",175000,"Y3","Fall","Ear Hanging",14,"Adductor",-929453.942498038,NA
"95",2e+05,"Y3","Fall","Ear Hanging",14,"Adductor",-922592.343459123,NA
"96",225000,"Y3","Fall","Ear Hanging",14,"Adductor",-938250.315743741,NA
"97",250000,"Y3","Fall","Ear Hanging",14,"Adductor",-931898.545810867,NA
"98",275000,"Y3","Fall","Ear Hanging",14,"Adductor",-942188.40658684,NA
"99",3e+05,"Y3","Fall","Ear Hanging",14,"Adductor",-935836.646653965,NA
"100",50000,"Y3","Fall","Ear Hanging",14.5,"Adductor",-910557.784523727,NA
"101",75000,"Y3","Fall","Ear Hanging",14.5,"Adductor",-910849.109710432,NA
"102",1e+05,"Y3","Fall","Ear Hanging",14.5,"Adductor",-911102.308793596,NA
"103",125000,"Y3","Fall","Ear Hanging",14.5,"Adductor",-915882.544524478,NA
"104",150000,"Y3","Fall","Ear Hanging",14.5,"Adductor",-911725.168130304,NA
"105",175000,"Y3","Fall","Ear Hanging",14.5,"Adductor",-917566.487521966,NA
